temp,p/po,n0,n1,n2,n3
0,0.22,0.00164,0.534154,-1.41262,4.434326
0,0.29,32.48,-395.4,1591,-2103
0,0.85,0.276551,0.316414,-0.32123,0.151901
25,0.29,0.00164,0.742793,-3.47016,8.273829
25,0.4,-11.7986,93.99519,-243.424,210.7103
25,0.93,0.213078,0.605003,-0.99343,0.638591
50,0.33,0.002295,0.506172,-1.86389,4.191939
50,0.4,103.9237,-862.039,2372.92,-2163.36
50,0.87,-0.01083,1.59411,-2.45145,1.334656
