adsorption amount,experiment
1.060606061,31.63265306
1.590909091,24.08163265
2.272727273,22.44897959
3.03030303,21.63265306
4.431818182,20.20408163
5.568181818,19.3877551
6.590909091,18.97959184
7.613636364,18.36734694
8.446969697,18.16326531
9.166666667,17.75510204
9.848484848,17.75510204
10.49242424,17.14285714
11.09848485,16.53061224
11.59090909,16.53061224
12.00757576,17.34693878
12.42424242,17.75510204
12.8030303,16.53061224
